,구,총생활인구수
0,종로구,266700.12557077623
1,중구,243922.93778538812
2,용산구,278545.25034246576
3,성동구,340105.7163242009
4,광진구,354361.6380136986
5,동대문구,343346.56130136986
6,중랑구,351437.0134703196
7,성북구,415883.5119863014
8,강북구,294209.2444063927
9,도봉구,274932.4172374429
10,노원구,508079.6147260274
11,은평구,435180.7396118721
12,서대문구,353611.50171232875
13,마포구,438452.3941780822
14,양천구,384186.37682648405
15,강서구,538722.9683789954
16,구로구,382433.15342465753
17,금천구,218657.50331050227
18,영등포구,458186.60924657533
19,동작구,377429.7188356164
20,관악구,469003.7649543379
21,서초구,555706.1658675799
22,강남구,786140.6006849315
23,송파구,735114.5710045662
24,강동구,503064.675913242
